Úroveň 1,Úroveň 2,Úroveň 3,Název (ČJ),Vysvětlení (ČJ),Příklady (ČJ),Term (EN),Explanation (EN),,,,,,,,,,
,,BWA,Senzor váhy,snímač sil pro hmotnost s výstupem ve skalárních hodnotách,"váha, autováha",Weight transmitter,"force sensing object of weight, with scalar output",,,,,,,,,,senzor váhy
,,BWB,Detektor váhy,snímač sil pro hmotnost s výstupem v booleovských hodnotách,detektor váhy,Weight detecting switch,"force sensing object of weight, with Boolean output",,,,,,,,,,detektor váhy
,,BWC,Senzor síly,snímač sil pro sílu s výstupem ve skalárních hodnotách,senzor síly,Force value transmitter,"force sensing object of force, with scalar output",,,,,,,,,,senzor síly
,,BWD,Detektor síly,snímač sil pro sílu s výstupem v booleovských hodnotách,detektor síly,Force detecting switch,"force sensing object of force, with Boolean output",,,,,,,,,,detektor síly
,,BWE,Senzor točivého momentu,snímač sil pro točivý moment s výstupem ve skalárních hodnotách,senzor točivého momentu,Torque value transmitter,"force sensing object of torque, with scalar output",,,,,,,,,,senzor točivého momentu
,,BWF,Detektor točivého momentu,snímač sil pro točivý moment s výstupem v booleovských hodnotách,detektor točivého momentu,Torque switch,"force sensing object of torque, with Boolean output",,,,,,,,,,detektor točivého momentu
,BX?,,Audio-vizuální snímač,snímač určený k rozeznání zvukového nebo vizuálního obrazu,,Audio-visual sensing object,sensing object of sound and/or visual appearance,,,,,,,,,,audio-vizuální snímač
,,BXB,Akustický detektor,audio-vizuální snímač zvuku s výstupem v booleovských hodnotách,"zvukoměr, mikrofon",Acoustic sensor,"audio-visual sensing object of sound, with scalar output",,,,,,,,,,akustický detektor
,,BXB,Akustický senzor,audio-vizuální snímač zvuku s výstupem ve skalárních hodnotách,"detektor rozbíjeného skla, detektor kavitace, zvukový alarm",Acoustic sensor,"audio-visual sensing object of sound, with scalar output",,,,,,,,,,akustický senzor
,,BXC,Detektor obrazu,audio-vizuální snímač obrazu s výstupem v booleovských hodnotách,"snímač otisku prstů, snímač čočky, snímač k rozpoznání obličeje",Image sensor,"audio-visual sensing object of visual appearance, with scalar output",,,,,,,,,,detektor obrazu
,,BXD,Kamera,audio-vizuální snímač obrazu s výstupem ve skalárních hodnotách,"kamera, hlídací kamera, skener, dopravní kamera",Image detector,"audio-visual sensing object of visual appearance, with Boolean output",,,,,,,,,,kamera
,BY?,,Informační snímač,snímače určené pro uložené informace,,Information sensing object,sensing object of stored information,,,,,,,,,,informační snímač
,,BYA,Čtečka čipů,informační snímač na základě elektrického spojení,čtečka karet,Chip reader,information sensing object by electrical connection,,,,,,,,,,čtečka čipů
,,BYB,Elektromagnetická čtečka,informační snímač na základě elektromagnetického pole,"čtečka karet, čtečka vstupenek, čtečka magnetických karet",Electromagnetic reader,information sensing object by electromagnetic field,,,,,,,,,,elektromagnetická čtečka
,,BYC,Optická čtečka,informační snímač na základě světla,"čtečka QR-kódů, čtečka čárových kódů",Optical reader,information sensing object by light,,,,,,,,,,optická čtečka
,BZ?,,Snímač situací,snímače zaznamenávající události nebo částky,,Incident sensing object,sensing object for incidents or amounts,,,,,,,,,,snímač situací
,,BZA,Senzor množství,snímač situací pro rozpoznání události s výstupem ve skalárních hodnotách,"počítadlo, otáčkoměr",Counter,"incident sensing object detecting the number of incidents, with scalar output",,,,,,,,,,senzor množství
,,BZB,Detektor množství,snímač situací pro rozpoznání události s výstupem v booleovských hodnotách,detektor prahové hodnoty,Threshold detector,"incident sensing object detecting the number of incidents, with Boolean output",,,,,,,,,,detektor množství
,,BZC,Detektor osob,snímač situací pro rozpoznání přítomnosti osob s výstupem v booleovských hodnotách,"detektor průchodu, prezenční čidlo, detektor pohybu",Person detector,"incident sensing object detecting the presence of humans, with Boolean output",,,,,,,,,,detektor osob
,,BZD,Detektor materiálů,snímač situací pro rozpoznání přítomnosti materiálů s výstupem v booleovských hodnotách,"počitadlo kol, dopravní čítač",Matter detector,"incident sensing object detecting the presence of matters, with Boolean output",,,,,,,,,,detektor materiálů
C??,,,Objekt pro ukládání,objekt sloužící k uložení za účelem pozdějšího získání,,Storing object,object for storing for subsequent retrieval,,,,,,,,,,objekt pro ukládání
,CA?,,Objekt ukládání kapacity,objekt pro ukládání elektrické energie do elektrostatického pole,,Capacitive storing object,storing object for electric energy within an electrostatic field,,,,,,,,,,objekt ukládání kapacity
